,player,team,date,points,datetime
0,Randle J.,NYK,2/28/2020,19.5,21:02.8
1,Barrett R. J.,NYK,2/28/2020,14.5,21:02.8
2,Payton E.,NYK,2/28/2020,11.5,21:02.8
3,Fox D.,SAC,2/28/2020,20.5,21:02.8
4,Gallinari D.,OKC,2/28/2020,19.5,21:02.8
5,Sabonis D.,IND,2/28/2020,19.5,21:02.8
6,Warren T.J.,IND,2/28/2020,18.5,21:02.8
7,Brogdon M.,IND,2/28/2020,16.5,21:02.8
8,Turner M.,IND,2/28/2020,11.5,21:02.8
9,McCollum C.J.,POR,2/28/2020,26.5,21:02.8
10,Whiteside H.,POR,2/28/2020,17.5,21:02.8
11,Anthony C.,POR,2/28/2020,16.5,21:02.8
12,Ariza T.,POR,2/28/2020,10.5,21:02.8
13,Schroder D.,OKC,2/28/2020,19.5,21:02.8
14,Gilgeous Alexander S.,OKC,2/28/2020,19.5,21:02.8
15,Paul C.,OKC,2/28/2020,18.5,21:02.8
16,Adams S.,OKC,2/28/2020,11.5,21:02.8
17,Hield B.,SAC,2/28/2020,18.5,21:02.8
18,Bogdanovic Bog.,SAC,2/28/2020,14.5,21:02.8
19,Barnes H.,SAC,2/28/2020,13.5,21:02.8
20,Bjelica N.,SAC,2/28/2020,10.5,21:02.8
21,Wiggins A.,GSW,2/28/2020,21.5,21:02.8
22,Lee D.,GSW,2/28/2020,14.5,21:02.8
23,Poole J.,GSW,2/28/2020,14.5,21:02.8
24,Paschall E.,GSW,2/28/2020,12.5,21:02.8
25,Green Dr.,GSW,2/28/2020,8.5,21:02.8
26,Davis A.,LAL,2/28/2020,30.5,21:02.8
27,Kuzma K.,LAL,2/28/2020,16.5,21:02.8
28,Bradley A.,LAL,2/28/2020,9.5,21:02.8
29,Green D.,LAL,2/28/2020,9.5,21:02.8
